,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,lr
0,0.5884988903999329,0.7427462935447693,0.25681164860725403,0.0388931967318058,0.6087018251419067,0.7737636566162109,0.0,0.0,0.002
1,0.5540714263916016,0.7587773203849792,0.1724778562784195,0.0017784222727641463,0.5928294658660889,0.7737636566162109,0.0,0.0,0.002
2,0.5098804831504822,0.7608128786087036,0.5048474073410034,0.09069911390542984,0.733219563961029,0.4432501792907715,0.23277859389781952,0.6363096237182617,0.002
3,0.421800434589386,0.8041266202926636,0.6441065073013306,0.40788620710372925,1.220808982849121,0.28339359164237976,0.23299852013587952,0.9457383155822754,0.002
4,0.35637494921684265,0.8409817218780518,0.7113922834396362,0.5659197568893433,1.3067476749420166,0.2700660228729248,0.23455910384655,0.9836982488632202,0.002
5,0.30379852652549744,0.8681230545043945,0.7543806433677673,0.666664719581604,0.5487263798713684,0.7335885763168335,0.45753568410873413,0.9566784501075745,0.002
6,0.2591449022293091,0.8886542320251465,0.7888094782829285,0.7310085296630859,0.2568938136100769,0.8902294039726257,0.7804198265075684,0.7163501977920532,0.002
7,0.22854547202587128,0.9023277163505554,0.8107661008834839,0.7727118730545044,0.28521525859832764,0.8845266103744507,0.7011237144470215,0.8533619046211243,0.002
8,0.21854543685913086,0.9071537852287292,0.8249086141586304,0.777538537979126,0.23560047149658203,0.9025158882141113,0.7347665429115295,0.8905853629112244,0.002
9,0.20486606657505035,0.9129213094711304,0.8323122262954712,0.7971834540367126,0.24458685517311096,0.8951044082641602,0.8078709244728088,0.7037006616592407,0.002
10,0.1846124827861786,0.9221656322479248,0.849077045917511,0.8211058974266052,0.1966117024421692,0.9215424060821533,0.844479501247406,0.8006550073623657,0.002
11,0.16916924715042114,0.9286350011825562,0.861037015914917,0.8372846245765686,0.17773950099945068,0.9280726313591003,0.8412184119224548,0.8407660126686096,0.002
12,0.15833187103271484,0.9334110021591187,0.8706440925598145,0.8480927348136902,0.18915551900863647,0.9239349365234375,0.8429809808731079,0.8157219886779785,0.002
13,0.15207818150520325,0.9353777766227722,0.8743061423301697,0.8529148697853088,0.1928236484527588,0.9236936569213867,0.835922122001648,0.8245620131492615,0.002
14,0.14486023783683777,0.9389823079109192,0.882408618927002,0.8599363565444946,0.1679547280073166,0.9327678680419922,0.8685799241065979,0.8281222581863403,0.002
15,0.13779708743095398,0.9415639042854309,0.8859507441520691,0.867831289768219,0.1801641583442688,0.9264978170394897,0.8161904811859131,0.8713375926017761,0.002
