,p,mse,mse_tuned,mae,mae_tuned,psnr,psnr_tuned,ssim,ssim_tuned
0,1048576,0.015154311,0.010809115,0.071014687,0.054763809,37.14245224,40.2755661,0.847180843,0.91271174
1,262144,0.015182251,0.011369476,0.071121268,0.057799049,37.11730576,39.54067612,0.846830726,0.903950155
2,65536,0.015290043,0.012513945,0.071533181,0.062942848,37.01987076,38.45975876,0.852150798,0.887867868
3,16384,0.015720857,0.014445415,0.0731389,0.06986846,36.65995026,37.1668129,0.843767464,0.862730742
0,4096,0.017405228689312935,0.017405228689312935,0.0790720283985138,0.0790720283985138,35.52933883666992,35.52933883666992,0.8435302972793579,0.8435302972793579
4,1024,0.074255444,0.022769863,0.164185032,0.093606174,28.86272049,33.38593292,0.656924069,inf
5,256,0.569293082,0.03111201,0.489661306,0.110755876,18.90858841,31.26198578,0.326647341,0.762462437
6,64,0.983236551,0.043377038,0.705407321,0.129457101,15.5947752,29.35215378,0.173496246,0.733186126
7,16,1.353697658,0.062394615,0.872150779,0.1527908,13.96616268,27.47928238,0.092627317,0.701458991
