,p,psnr,ssim
0,1048576,30.99950506036932,0.8049231789328836
1,262144,30.993266157670455,0.8035815845836293
2,65536,30.940540660511363,0.7979887528852982
3,16384,30.636072887073862,0.7765532060102983
4,4096,29.625919117647058,0.7107869477598157
4,1024,26.740514026988638,0.5625460537997159
5,256,22.897336647727272,0.37839598222212356
6,64,20.208622602982956,0.24125959222966975
7,16,18.441314142400568,0.1723678242076527
