,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,lr
3,0.3788282573223114,0.8279188275337219,0.6936584115028381,0.5047052502632141,1.0177931785583496,0.3331924080848694,0.2409926801919937,0.905973494052887,0.002
4,0.31096863746643066,0.8657070994377136,0.7550756335258484,0.650536835193634,0.7141550779342651,0.5665342807769775,0.3323110044002533,0.9076094031333923,0.002
5,0.265748530626297,0.8869756460189819,0.7839718461036682,0.729232132434845,0.5157383680343628,0.7424945831298828,0.4637102782726288,0.8830512762069702,0.002
6,0.22890381515026093,0.9037142992019653,0.8185192942619324,0.7685483694076538,0.2885762155056,0.8772882223129272,0.7353532314300537,0.7148690223693848,0.002
7,0.20629577338695526,0.9126825928688049,0.8320021629333496,0.7963818907737732,0.21006181836128235,0.9091596603393555,0.8657814264297485,0.7082719206809998,0.002
8,0.19285815954208374,0.9183259010314941,0.8416904211044312,0.811820387840271,0.17016875743865967,0.9299843311309814,0.8801252245903015,0.7993996739387512,0.002
9,0.17367126047611237,0.9271007776260376,0.8580840826034546,0.8336215615272522,0.20028182864189148,0.9178895354270935,0.7804282307624817,0.886463463306427,0.002
10,0.16102084517478943,0.9322941303253174,0.8704171180725098,0.8429151177406311,0.1751100867986679,0.9302129745483398,0.8810809254646301,0.7994286417961121,0.002
11,0.15709811449050903,0.9337732195854187,0.8714441657066345,0.8488170504570007,0.15810739994049072,0.9370940923690796,0.8861588835716248,0.828362226486206,0.002
12,0.1475474238395691,0.9376385807991028,0.8795379996299744,0.8571237325668335,0.1624177098274231,0.9317986965179443,0.8718773722648621,0.8188733458518982,0.002
13,0.13886018097400665,0.9413741230964661,0.8850691318511963,0.8680421710014343,0.18079286813735962,0.9322199821472168,0.8492879867553711,0.851507306098938,0.002
14,0.1309078335762024,0.9448204636573792,0.8920758962631226,0.8756415843963623,0.14258840680122375,0.9423222541809082,0.8796576857566833,0.8631381392478943,0.002
15,0.13949692249298096,0.9412003755569458,0.8865452408790588,0.8653368353843689,0.195125550031662,0.9236980676651001,0.7783176302909851,0.9266698360443115,0.002
16,0.13536912202835083,0.942472517490387,0.8852717876434326,0.8730500936508179,0.2016579955816269,0.928093433380127,0.8013286590576172,0.9070422649383545,0.002
17,0.11776579916477203,0.9498416781425476,0.9027024507522583,0.8861778378486633,0.1507195234298706,0.9358057379722595,0.8146386742591858,0.9272316694259644,0.002
18,0.11982371658086777,0.9489279389381409,0.9001709222793579,0.8849944472312927,0.153561070561409,0.9383863806724548,0.8436154127120972,0.8932421207427979,0.002
19,0.11247919499874115,0.9522607326507568,0.9063863754272461,0.8929869532585144,0.16018468141555786,0.9359169006347656,0.8272042870521545,0.9059977531433105,0.002
20,0.11021386086940765,0.9528725743293762,0.9064995050430298,0.8956981301307678,0.1412440538406372,0.943295955657959,0.869882345199585,0.8811643719673157,0.002
21,0.10690025985240936,0.9544553756713867,0.9108200073242188,0.8978244662284851,0.17869006097316742,0.9317185282707214,0.8021144866943359,0.9268412590026855,0.002
22,0.10336679965257645,0.9557849764823914,0.911189615726471,0.9035305380821228,0.1602039337158203,0.9396087527275085,0.8857497572898865,0.8416194319725037,0.002
23,0.10135593265295029,0.9567654132843018,0.9126971364021301,0.9062435030937195,0.15105700492858887,0.9410122632980347,0.8427721858024597,0.9088135957717896,0.002
24,0.10315296798944473,0.955996036529541,0.9137535095214844,0.9014308452606201,0.16966241598129272,0.9385337829589844,0.85184246301651,0.881651759147644,0.002
25,0.09448618441820145,0.959733784198761,0.9208191633224487,0.9102163910865784,0.16556903719902039,0.93898606300354,0.8539273142814636,0.8810155987739563,0.002
26,0.0961962640285492,0.9591913819313049,0.9192171096801758,0.9096235632896423,0.14735744893550873,0.9421707987785339,0.8476564288139343,0.9074811935424805,0.002
27,0.08960949629545212,0.9617374539375305,0.9245048761367798,0.9150311350822449,0.20248627662658691,0.9349629282951355,0.8105400800704956,0.9298810958862305,0.002
28,0.08511100709438324,0.9637202024459839,0.927640974521637,0.9203773736953735,0.1810375452041626,0.9342510104179382,0.8120378851890564,0.9230329990386963,0.002
29,0.06978105753660202,0.9704592823982239,0.9411551356315613,0.9351819753646851,0.15812793374061584,0.9442119598388672,0.8423597812652588,0.9268624782562256,0.00020000001
30,0.06200045347213745,0.9734735488891602,0.9464850425720215,0.9425842761993408,0.1566385179758072,0.9460033178329468,0.8525161147117615,0.920586109161377,0.00020000001
31,0.059497807174921036,0.9745694994926453,0.9489752650260925,0.944656491279602,0.1640530228614807,0.9444209337234497,0.842471718788147,0.9278181791305542,0.00020000001
32,0.058820534497499466,0.974839985370636,0.9488927721977234,0.9459415078163147,0.16333022713661194,0.9453220367431641,0.8489462733268738,0.9224461913108826,0.00020000001
33,0.056542448699474335,0.9758878350257874,0.9511903524398804,0.9480128288269043,0.1699572652578354,0.9449710845947266,0.8463951349258423,0.924552321434021,0.00020000001
34,0.05327046662569046,0.9772345423698425,0.9544665813446045,0.950322687625885,0.1807907521724701,0.9436356425285339,0.8369176387786865,0.9325850605964661,0.00020000001
35,0.05280159413814545,0.9774733185768127,0.9539110660552979,0.951978862285614,0.1720539629459381,0.9456250071525574,0.8479980826377869,0.9255580306053162,0.00020000001
36,0.05262907221913338,0.9775325655937195,0.9550080299377441,0.9510357975959778,0.18219149112701416,0.9434255361557007,0.8362886309623718,0.9324721097946167,0.00020000001
37,0.05065587908029556,0.9784327149391174,0.9552903771400452,0.9546682834625244,0.1761968433856964,0.9454292058944702,0.8475819826126099,0.9251561760902405,2.0000001e-05
38,0.049982700496912,0.9786796569824219,0.9563724398612976,0.9545639753341675,0.17664341628551483,0.9458293318748474,0.8501874208450317,0.9232428669929504,2.0000001e-05
39,0.050200048834085464,0.9786537289619446,0.9565432667732239,0.9542631506919861,0.17686671018600464,0.9458991885185242,0.8502732515335083,0.923484206199646,2.0000001e-05
