,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,lr
2,0.4513913691043854,0.7899404764175415,0.627049446105957,0.30428874492645264,0.8492979407310486,0.36740750074386597,0.23378819227218628,0.7886961102485657,0.002
3,0.3547728359699249,0.8418209552764893,0.7107075452804565,0.5731197595596313,0.8545814752578735,0.287466824054718,0.2340535968542099,0.9458672404289246,0.002
4,0.30149194598197937,0.8691245317459106,0.7564526200294495,0.6692604422569275,1.748821496963501,0.28270742297172546,0.23749540746212006,0.9818770289421082,0.002
5,0.2681487500667572,0.8848977088928223,0.7764300107955933,0.7297409772872925,0.8498560190200806,0.5679303407669067,0.340782105922699,0.9736618995666504,0.002
6,0.22160637378692627,0.9058509469032288,0.8150857090950012,0.785197377204895,0.4689258933067322,0.7655293345451355,0.4905272424221039,0.9423716068267822,0.002
7,0.2020518034696579,0.9146056771278381,0.8334748148918152,0.8042979836463928,0.21966485679149628,0.9127034544944763,0.7673808336257935,0.8812822103500366,0.002
8,0.1843710094690323,0.9222919344902039,0.8477235436439514,0.8236304521560669,0.1911415308713913,0.9196028113365173,0.7812877893447876,0.8952449560165405,0.002
9,0.17807795107364655,0.9244564175605774,0.8539155721664429,0.8260272145271301,0.18250803649425507,0.9223653674125671,0.814786970615387,0.8500779867172241,0.002
10,0.16395962238311768,0.9309619069099426,0.8666443228721619,0.8413249850273132,0.16653263568878174,0.9307040572166443,0.8319185972213745,0.8693436980247498,0.002
11,0.15605996549129486,0.9342809915542603,0.8696046471595764,0.8537341356277466,0.16626979410648346,0.9323146343231201,0.8260111212730408,0.8878302574157715,0.002
12,0.14710992574691772,0.9378820657730103,0.8796165585517883,0.8582010269165039,0.1588125079870224,0.9321848750114441,0.8314799666404724,0.8782444596290588,0.002
13,0.14361152052879333,0.939254879951477,0.8823661208152771,0.8613031506538391,0.19208744168281555,0.9213467836380005,0.7851316332817078,0.8981344699859619,0.002
14,0.14283540844917297,0.9395245313644409,0.8801605701446533,0.8654378056526184,0.1712055206298828,0.9312300086021423,0.8114361763000488,0.9067355990409851,0.002
15,0.13189011812210083,0.9442477226257324,0.8899458050727844,0.8755941987037659,0.15627440810203552,0.9335222244262695,0.8359456062316895,0.8785794377326965,0.002
