,p,mse,mse_tuned,psnr,psnr_tuned,ssim,ssim_tuned
0,1048576,0.03304293751716614,0.01749243214726448,31.49846649169922,33.365867614746094,0.7994546890258789,-inf
1,262144,0.12616465985774994,0.020516619086265564,27.130266189575195,32.49318313598633,0.689579963684082,0.8242511749267578
2,65536,0.3264629542827606,0.024889618158340454,22.198650360107422,31.4810791015625,0.53780597448349,
3,16384,0.5254746079444885,0.030811600387096405,18.891284942626953,30.39824867248535,0.3997068405151367,
4,4096,0.7028741240501404,0.03857898339629173,16.860126495361328,29.308738708496094,0.307117223739624,0.7890810370445251
5,1024,0.8019936084747314,0.048798851668834686,15.95601749420166,28.220518112182617,0.27678707242012024,inf
6,256,0.8422328233718872,0.0624922476708889,15.591228485107422,27.101879119873047,0.26215270161628723,inf
7,64,0.8955003023147583,0.08140940219163895,15.270977020263672,25.924453735351562,0.257192462682724,-inf
8,16,1.1095315217971802,0.10455049574375153,14.371155738830566,24.82502555847168,0.2619384825229645,inf
